sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
105000,118500,Chaotic Spring (dot),5137.0,472658,215654,212781,97256,606102,193205,79493,376512,227133,225643,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
118360,118892,Auto,9584.0,482242,215654,212781,97256,606102,193205,79493,376512,227133,225643,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
120000,120620,Fang and Claw,38838.0,482242,215654,212781,97256,606102,232043,79493,376512,227133,225643,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
105000,121500,Chaotic Spring (dot),5137.0,482242,215654,217918,97256,606102,232043,79493,376512,227133,225643,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
121160,121692,Auto,9619.0,491861,215654,217918,97256,606102,232043,79493,376512,227133,225643,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
122500,123120,Drakesbane,52741.0,491861,215654,217918,97256,658843,232043,79493,376512,227133,225643,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
123960,124492,Auto,9619.0,501480,215654,217918,97256,658843,232043,79493,376512,227133,225643,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
105000,124500,Chaotic Spring (dot),5137.0,501480,215654,223055,97256,658843,232043,79493,376512,227133,225643,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
125000,125620,Raiden Thrust,40358.0,501480,215654,223055,97256,658843,232043,79493,376512,227133,225643,183896,244409,0,425238,106986,180608,237629,285149,23973,235239,242256
126240,126910,Geirskogul,38906.0,501480,215654,223055,97256,658843,232043,118399,376512,227133,225643,183896,244409,0,425238,106986,180608,237629,285149,23973,235239,242256
