sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Communio,Cross Reaping,Executioner's Gallows,Executioner's Gibbet,Gallows,Gibbet,Gluttony,Harpe,Harvest Moon,Infernal Slice,Lemure's Slice,Perfectio,Plentiful Harvest,Sacrificium,Shadow of Death,Slice,Soul Slice,Unveiled Gallows,Unveiled Gibbet,Void Reaping,Waxing Slice
95011,95591,Waxing Slice,56579.0,338801,270180,314376,201401,188662,140318,146092,131950,30859,0,271580,137528,172198,132459,171931,135489,241530,250244,99576,108065,299640,282895
95631,96171,Unveiled Gibbet,49788.0,338801,270180,314376,201401,188662,140318,146092,131950,30859,0,271580,137528,172198,132459,171931,135489,241530,250244,99576,157853,299640,282895
96645,97177,Auto,10837.0,349638,270180,314376,201401,188662,140318,146092,131950,30859,0,271580,137528,172198,132459,171931,135489,241530,250244,99576,157853,299640,282895
97501,97991,Gibbet,70159.0,349638,270180,314376,201401,188662,140318,216251,131950,30859,0,271580,137528,172198,132459,171931,135489,241530,250244,99576,157853,299640,282895
99845,100377,Auto,10837.0,360475,270180,314376,201401,188662,140318,216251,131950,30859,0,271580,137528,172198,132459,171931,135489,241530,250244,99576,157853,299640,282895
99992,101022,Soul Slice,58841.0,360475,270180,314376,201401,188662,140318,216251,131950,30859,0,271580,137528,172198,132459,171931,135489,241530,309085,99576,157853,299640,282895
100612,101152,Unveiled Gallows,49788.0,360475,270180,314376,201401,188662,140318,216251,131950,30859,0,271580,137528,172198,132459,171931,135489,241530,309085,149364,157853,299640,282895
102482,102972,Gallows,70159.0,360475,270180,314376,201401,188662,210477,216251,131950,30859,0,271580,137528,172198,132459,171931,135489,241530,309085,149364,157853,299640,282895
103045,103577,Auto,10837.0,371312,270180,314376,201401,188662,210477,216251,131950,30859,0,271580,137528,172198,132459,171931,135489,241530,309085,149364,157853,299640,282895
104973,105513,Infernal Slice,67895.0,371312,270180,314376,201401,188662,210477,216251,131950,30859,0,339475,137528,172198,132459,171931,135489,241530,309085,149364,157853,299640,282895
106245,106777,Auto,10837.0,382149,270180,314376,201401,188662,210477,216251,131950,30859,0,339475,137528,172198,132459,171931,135489,241530,309085,149364,157853,299640,282895
107463,107953,Slice,47524.0,382149,270180,314376,201401,188662,210477,216251,131950,30859,0,339475,137528,172198,132459,171931,135489,289054,309085,149364,157853,299640,282895
109445,109977,Auto,10837.0,392986,270180,314376,201401,188662,210477,216251,131950,30859,0,339475,137528,172198,132459,171931,135489,289054,309085,149364,157853,299640,282895
109954,111114,Shadow of Death,33945.0,392986,270180,314376,201401,188662,210477,216251,131950,30859,0,339475,137528,172198,132459,171931,169434,289054,309085,149364,157853,299640,282895
112444,113024,Waxing Slice,56579.0,392986,270180,314376,201401,188662,210477,216251,131950,30859,0,339475,137528,172198,132459,171931,169434,289054,309085,149364,157853,299640,339474
112645,113177,Auto,10837.0,403823,270180,314376,201401,188662,210477,216251,131950,30859,0,339475,137528,172198,132459,171931,169434,289054,309085,149364,157853,299640,339474
114935,115475,Infernal Slice,67895.0,403823,270180,314376,201401,188662,210477,216251,131950,30859,0,407370,137528,172198,132459,171931,169434,289054,309085,149364,157853,299640,339474
115845,116377,Auto,10837.0,414660,270180,314376,201401,188662,210477,216251,131950,30859,0,407370,137528,172198,132459,171931,169434,289054,309085,149364,157853,299640,339474
117425,117915,Slice,47524.0,414660,270180,314376,201401,188662,210477,216251,131950,30859,0,407370,137528,172198,132459,171931,169434,336578,309085,149364,157853,299640,339474
119045,119577,Auto,10837.0,425497,270180,314376,201401,188662,210477,216251,131950,30859,0,407370,137528,172198,132459,171931,169434,336578,309085,149364,157853,299640,339474
119916,120496,Waxing Slice,56579.0,425497,270180,314376,201401,188662,210477,216251,131950,30859,0,407370,137528,172198,132459,171931,169434,336578,309085,149364,157853,299640,396053
122245,122777,Auto,10837.0,436334,270180,314376,201401,188662,210477,216251,131950,30859,0,407370,137528,172198,132459,171931,169434,336578,309085,149364,157853,299640,396053
122406,122946,Void Reaping,65629.0,436334,270180,314376,201401,188662,210477,216251,131950,30859,0,407370,137528,172198,132459,171931,169434,336578,309085,149364,157853,365269,396053
123907,125067,Shadow of Death,33945.0,436334,270180,314376,201401,188662,210477,216251,131950,30859,0,407370,137528,172198,132459,171931,203379,336578,309085,149364,157853,365269,396053
125445,125977,Auto,10837.0,447171,270180,314376,201401,188662,210477,216251,131950,30859,0,407370,137528,172198,132459,171931,203379,336578,309085,149364,157853,365269,396053
126397,127017,Cross Reaping,78320.0,447171,270180,392696,201401,188662,210477,216251,131950,30859,0,407370,137528,172198,132459,171931,203379,336578,309085,149364,157853,365269,396053
127017,127727,Lemure's Slice,34262.0,447171,270180,392696,201401,188662,210477,216251,131950,30859,0,407370,171790,172198,132459,171931,203379,336578,309085,149364,157853,365269,396053
127898,128438,Void Reaping,78320.0,447171,270180,392696,201401,188662,210477,216251,131950,30859,0,407370,171790,172198,132459,171931,203379,336578,309085,149364,157853,443589,396053
128645,129177,Auto,11720.0,458891,270180,392696,201401,188662,210477,216251,131950,30859,0,407370,171790,172198,132459,171931,203379,336578,309085,149364,157853,443589,396053
128518,129278,Sacrificium,85668.0,458891,270180,392696,201401,188662,210477,216251,131950,30859,0,407370,171790,172198,132459,257599,203379,336578,309085,149364,157853,443589,396053
129398,130018,Cross Reaping,78320.0,458891,270180,471016,201401,188662,210477,216251,131950,30859,0,407370,171790,172198,132459,257599,203379,336578,309085,149364,157853,443589,396053
130018,130728,Lemure's Slice,34262.0,458891,270180,471016,201401,188662,210477,216251,131950,30859,0,407370,206052,172198,132459,257599,203379,336578,309085,149364,157853,443589,396053
