sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
56893,57425,Auto,6741.0,57467,176464,171525,20067,40125,122432,0,133821,66315,97260,0,48626,96412,127448,120436,107055,110523,153280,45490,80270,123788
57500,58214,Burst Strike,33820.0,57467,176464,171525,20067,40125,122432,33820,133821,66315,97260,0,48626,96412,127448,120436,107055,110523,153280,45490,80270,123788
58125,58883,Hypervelocity,14490.0,57467,176464,171525,20067,40125,122432,33820,133821,66315,97260,14490,48626,96412,127448,120436,107055,110523,153280,45490,80270,123788
59693,60225,Auto,6741.0,57467,183205,171525,20067,40125,122432,33820,133821,66315,97260,14490,48626,96412,127448,120436,107055,110523,153280,45490,80270,123788
60000,60623,Gnashing Fang,35427.0,57467,183205,171525,20067,40125,122432,33820,133821,66315,132687,14490,48626,96412,127448,120436,107055,110523,153280,45490,80270,123788
60625,61427,Jugular Rip,17713.0,57467,183205,171525,20067,40125,122432,33820,133821,66315,132687,14490,66339,96412,127448,120436,107055,110523,153280,45490,80270,123788
62493,63025,Auto,6741.0,57467,189946,171525,20067,40125,122432,33820,133821,66315,132687,14490,66339,96412,127448,120436,107055,110523,153280,45490,80270,123788
62500,63125,Savage Claw,40265.0,57467,189946,171525,20067,40125,122432,33820,133821,66315,132687,14490,66339,96412,127448,120436,107055,150788,153280,45490,80270,123788
63750,64507,Abdomen Tear,20933.0,78400,189946,171525,20067,40125,122432,33820,133821,66315,132687,14490,66339,96412,127448,120436,107055,150788,153280,45490,80270,123788
65293,65825,Auto,6741.0,78400,196687,171525,20067,40125,122432,33820,133821,66315,132687,14490,66339,96412,127448,120436,107055,150788,153280,45490,80270,123788
65000,66162,Wicked Talon,45094.0,78400,196687,171525,20067,40125,122432,33820,133821,66315,132687,14490,66339,96412,127448,120436,107055,150788,153280,45490,80270,168882
66250,67231,Eye Gouge,28986.0,78400,196687,171525,20067,40125,122432,33820,133821,95301,132687,14490,66339,96412,127448,120436,107055,150788,153280,45490,80270,168882
67500,68123,Gnashing Fang,42513.0,78400,196687,171525,20067,40125,122432,33820,133821,95301,175200,14490,66339,96412,127448,120436,107055,150788,153280,45490,80270,168882
68093,68625,Auto,8089.0,78400,204776,171525,20067,40125,122432,33820,133821,95301,175200,14490,66339,96412,127448,120436,107055,150788,153280,45490,80270,168882
68125,68927,Jugular Rip,21255.0,78400,204776,171525,20067,40125,122432,33820,133821,95301,175200,14490,87594,96412,127448,120436,107055,150788,153280,45490,80270,168882
70000,70716,Double Down,96639.0,78400,204776,171525,20067,40125,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,150788,153280,45490,80270,168882
70625,71252,Bow Shock,14490.0,78400,204776,171525,34557,40125,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,150788,153280,45490,80270,168882
70893,71425,Auto,8089.0,78400,212865,171525,34557,40125,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,150788,153280,45490,80270,168882
71250,71875,Blasting Zone,77310.0,78400,212865,248835,34557,40125,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,150788,153280,45490,80270,168882
72500,73081,Sonic Break,32850.0,78400,212865,248835,34557,40125,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,150788,153280,78340,80270,168882
70625,73500,Bow Shock (dot),5793.0,78400,212865,248835,34557,45918,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,150788,153280,78340,80270,168882
72500,73500,Sonic Break (dot),11592.0,78400,212865,248835,34557,45918,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,150788,153280,78340,91862,168882
73693,74225,Auto,8089.0,78400,220954,248835,34557,45918,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,150788,153280,78340,91862,168882
75000,75625,Savage Claw,48319.0,78400,220954,248835,34557,45918,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,199107,153280,78340,91862,168882
75625,76382,Abdomen Tear,25120.0,103520,220954,248835,34557,45918,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,199107,153280,78340,91862,168882
72500,76500,Sonic Break (dot),11592.0,103520,220954,248835,34557,45918,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,199107,153280,78340,103454,168882
70625,76500,Bow Shock (dot),5793.0,103520,220954,248835,34557,51711,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,199107,153280,78340,103454,168882
76493,77025,Auto,8089.0,103520,229043,248835,34557,51711,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,199107,153280,78340,103454,168882
77500,78662,Wicked Talon,54114.0,103520,229043,248835,34557,51711,122432,33820,230460,95301,175200,14490,87594,96412,127448,120436,107055,199107,153280,78340,103454,222996
78125,79106,Eye Gouge,28986.0,103520,229043,248835,34557,51711,122432,33820,230460,124287,175200,14490,87594,96412,127448,120436,107055,199107,153280,78340,103454,222996
70625,79500,Bow Shock (dot),5793.0,103520,229043,248835,34557,57504,122432,33820,230460,124287,175200,14490,87594,96412,127448,120436,107055,199107,153280,78340,103454,222996
72500,79500,Sonic Break (dot),11592.0,103520,229043,248835,34557,57504,122432,33820,230460,124287,175200,14490,87594,96412,127448,120436,107055,199107,153280,78340,115046,222996
79293,79825,Auto,8089.0,103520,237132,248835,34557,57504,122432,33820,230460,124287,175200,14490,87594,96412,127448,120436,107055,199107,153280,78340,115046,222996
80000,81160,Reign of Beasts,77310.0,103520,237132,248835,34557,57504,122432,33820,230460,124287,175200,14490,87594,96412,127448,120436,184365,199107,153280,78340,115046,222996
72500,82500,Sonic Break (dot),11592.0,103520,237132,248835,34557,57504,122432,33820,230460,124287,175200,14490,87594,96412,127448,120436,184365,199107,153280,78340,126638,222996
70625,82500,Bow Shock (dot),5793.0,103520,237132,248835,34557,63297,122432,33820,230460,124287,175200,14490,87594,96412,127448,120436,184365,199107,153280,78340,126638,222996
82093,82625,Auto,8067.0,103520,245199,248835,34557,63297,122432,33820,230460,124287,175200,14490,87594,96412,127448,120436,184365,199107,153280,78340,126638,222996
82500,84150,Noble Blood,86732.0,103520,245199,248835,34557,63297,122432,33820,230460,124287,175200,14490,87594,96412,127448,207168,184365,199107,153280,78340,126638,222996
84893,85425,Auto,8067.0,103520,253266,248835,34557,63297,122432,33820,230460,124287,175200,14490,87594,96412,127448,207168,184365,199107,153280,78340,126638,222996
72500,85500,Sonic Break (dot),11592.0,103520,253266,248835,34557,63297,122432,33820,230460,124287,175200,14490,87594,96412,127448,207168,184365,199107,153280,78340,138230,222996
70625,85500,Bow Shock (dot),5793.0,103520,253266,248835,34557,69090,122432,33820,230460,124287,175200,14490,87594,96412,127448,207168,184365,199107,153280,78340,138230,222996
85000,86790,Lion Heart,96372.0,103520,253266,248835,34557,69090,122432,33820,230460,124287,175200,14490,87594,96412,223820,207168,184365,199107,153280,78340,138230,222996
87693,88225,Auto,6723.0,103520,259989,248835,34557,69090,122432,33820,230460,124287,175200,14490,87594,96412,223820,207168,184365,199107,153280,78340,138230,222996
87500,88393,Keen Edge,24088.0,103520,259989,248835,34557,69090,122432,33820,230460,124287,175200,14490,87594,120500,223820,207168,184365,199107,153280,78340,138230,222996
90493,91025,Auto,6723.0,103520,266712,248835,34557,69090,122432,33820,230460,124287,175200,14490,87594,120500,223820,207168,184365,199107,153280,78340,138230,222996
90000,91074,Brutal Shell,30513.0,103520,266712,248835,34557,69090,152945,33820,230460,124287,175200,14490,87594,120500,223820,207168,184365,199107,153280,78340,138230,222996
93293,93825,Auto,6723.0,103520,273435,248835,34557,69090,152945,33820,230460,124287,175200,14490,87594,120500,223820,207168,184365,199107,153280,78340,138230,222996
92500,94153,Solid Barrel,36938.0,103520,273435,248835,34557,69090,152945,33820,230460,124287,175200,14490,87594,120500,223820,207168,184365,199107,190218,78340,138230,222996
95000,95893,Keen Edge,24088.0,103520,273435,248835,34557,69090,152945,33820,230460,124287,175200,14490,87594,144588,223820,207168,184365,199107,190218,78340,138230,222996
96093,96625,Auto,6723.0,103520,280158,248835,34557,69090,152945,33820,230460,124287,175200,14490,87594,144588,223820,207168,184365,199107,190218,78340,138230,222996
97500,98574,Brutal Shell,30513.0,103520,280158,248835,34557,69090,183458,33820,230460,124287,175200,14490,87594,144588,223820,207168,184365,199107,190218,78340,138230,222996
98893,99425,Auto,6723.0,103520,286881,248835,34557,69090,183458,33820,230460,124287,175200,14490,87594,144588,223820,207168,184365,199107,190218,78340,138230,222996
100625,101250,Blasting Zone,64248.0,103520,286881,313083,34557,69090,183458,33820,230460,124287,175200,14490,87594,144588,223820,207168,184365,199107,190218,78340,138230,222996
100000,101653,Solid Barrel,36938.0,103520,286881,313083,34557,69090,183458,33820,230460,124287,175200,14490,87594,144588,223820,207168,184365,199107,227156,78340,138230,222996
101693,102225,Auto,6723.0,103520,293604,313083,34557,69090,183458,33820,230460,124287,175200,14490,87594,144588,223820,207168,184365,199107,227156,78340,138230,222996
102500,103214,Burst Strike,33727.0,103520,293604,313083,34557,69090,183458,67547,230460,124287,175200,14490,87594,144588,223820,207168,184365,199107,227156,78340,138230,222996
103125,103883,Hypervelocity,14451.0,103520,293604,313083,34557,69090,183458,67547,230460,124287,175200,28941,87594,144588,223820,207168,184365,199107,227156,78340,138230,222996
104493,105025,Auto,6723.0,103520,300327,313083,34557,69090,183458,67547,230460,124287,175200,28941,87594,144588,223820,207168,184365,199107,227156,78340,138230,222996
105000,105893,Keen Edge,24088.0,103520,300327,313083,34557,69090,183458,67547,230460,124287,175200,28941,87594,168676,223820,207168,184365,199107,227156,78340,138230,222996
107293,107825,Auto,6723.0,103520,307050,313083,34557,69090,183458,67547,230460,124287,175200,28941,87594,168676,223820,207168,184365,199107,227156,78340,138230,222996
107500,108574,Brutal Shell,30513.0,103520,307050,313083,34557,69090,213971,67547,230460,124287,175200,28941,87594,168676,223820,207168,184365,199107,227156,78340,138230,222996
110093,110625,Auto,6723.0,103520,313773,313083,34557,69090,213971,67547,230460,124287,175200,28941,87594,168676,223820,207168,184365,199107,227156,78340,138230,222996
110000,111653,Solid Barrel,36938.0,103520,313773,313083,34557,69090,213971,67547,230460,124287,175200,28941,87594,168676,223820,207168,184365,199107,264094,78340,138230,222996
112500,113214,Burst Strike,33727.0,103520,313773,313083,34557,69090,213971,101274,230460,124287,175200,28941,87594,168676,223820,207168,184365,199107,264094,78340,138230,222996
112893,113425,Auto,6723.0,103520,320496,313083,34557,69090,213971,101274,230460,124287,175200,28941,87594,168676,223820,207168,184365,199107,264094,78340,138230,222996
113125,113883,Hypervelocity,14451.0,103520,320496,313083,34557,69090,213971,101274,230460,124287,175200,43392,87594,168676,223820,207168,184365,199107,264094,78340,138230,222996
115000,115893,Keen Edge,24088.0,103520,320496,313083,34557,69090,213971,101274,230460,124287,175200,43392,87594,192764,223820,207168,184365,199107,264094,78340,138230,222996
115693,116225,Auto,6723.0,103520,327219,313083,34557,69090,213971,101274,230460,124287,175200,43392,87594,192764,223820,207168,184365,199107,264094,78340,138230,222996
117500,118574,Brutal Shell,30513.0,103520,327219,313083,34557,69090,244484,101274,230460,124287,175200,43392,87594,192764,223820,207168,184365,199107,264094,78340,138230,222996
118493,119025,Auto,6723.0,103520,333942,313083,34557,69090,244484,101274,230460,124287,175200,43392,87594,192764,223820,207168,184365,199107,264094,78340,138230,222996
120000,121653,Solid Barrel,36938.0,103520,333942,313083,34557,69090,244484,101274,230460,124287,175200,43392,87594,192764,223820,207168,184365,199107,301032,78340,138230,222996
121293,121825,Auto,6746.0,103520,340688,313083,34557,69090,244484,101274,230460,124287,175200,43392,87594,192764,223820,207168,184365,199107,301032,78340,138230,222996
