sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
168414,168946,Auto,90,1.0,5600,1600,3870,510,4675,16450,3840
167914,169204,Glare III,350,1.0,5600,1600,3870,510,4675,16800,3840
145084,169500,Dia (dot),85,1.0,5600,1600,3870,510,4760,16800,3840
170946,171616,Assize,400,1.0,5600,2000,3870,510,4760,16800,3840
170344,171634,Glare III,350,1.0,5600,2000,3870,510,4760,17150,3840
145084,172500,Dia (dot),85,1.0,5600,2000,3870,510,4845,17150,3840
173274,173806,Auto,90,1.0,5600,2000,3960,510,4845,17150,3840
172774,174064,Glare III,350,1.0,5600,2000,3960,510,4845,17500,3840
145084,175500,Dia (dot),85,1.0,5600,2000,3960,510,4930,17500,3840
174244,175534,Dia,85,1.0,5600,2000,3960,595,4930,17500,3840
174244,178500,Dia (dot),85,1.0,5600,2000,3960,595,5015,17500,3840
178134,178666,Auto,90,1.0,5600,2000,4050,595,5015,17500,3840
177634,178924,Glare III,350,1.0,5600,2000,4050,595,5015,17850,3840
180064,181354,Glare III,350,1.0,5600,2000,4050,595,5015,18200,3840
174244,181500,Dia (dot),85,1.0,5600,2000,4050,595,5100,18200,3840
182994,183526,Auto,90,1.0,5600,2000,4140,595,5100,18200,3840
182494,183784,Glare III,350,1.0,5600,2000,4140,595,5100,18550,3840
174244,184500,Dia (dot),85,1.0,5600,2000,4140,595,5185,18550,3840
184924,186214,Glare III,350,1.0,5600,2000,4140,595,5185,18900,3840
174244,187500,Dia (dot),85,1.0,5600,2000,4140,595,5270,18900,3840
187854,188386,Auto,90,1.0,5600,2000,4230,595,5270,18900,3840
187354,188644,Glare III,350,1.0,5600,2000,4230,595,5270,19250,3840
174244,190500,Dia (dot),85,1.0,5600,2000,4230,595,5355,19250,3840
189784,191074,Glare III,350,1.0,5600,2000,4230,595,5355,19600,3840
192714,193246,Auto,90,1.0,5600,2000,4320,595,5355,19600,3840
174244,193500,Dia (dot),85,1.0,5600,2000,4320,595,5440,19600,3840
192214,193504,Glare III,350,1.0,5600,2000,4320,595,5440,19950,3840
174244,196500,Dia (dot),85,1.0,5600,2000,4320,595,5525,19950,3840
196154,196686,Auto,90,1.0,5600,2000,4410,595,5525,19950,3840
174244,199500,Dia (dot),85,1.0,5600,2000,4410,595,5610,19950,3840
200005,200537,Auto,90,1.0,5600,2000,4500,595,5610,19950,3840
199505,200795,Glare III,350,1.0,5600,2000,4500,595,5610,20300,3840
174244,202500,Dia (dot),85,1.0,5600,2000,4500,595,5695,20300,3840
201935,203225,Glare III,350,1.0,5600,2000,4500,595,5695,20650,3840
204865,205397,Auto,90,1.0,5600,2000,4590,595,5695,20650,3840
174244,205500,Dia (dot),85,1.0,5600,2000,4590,595,5780,20650,3840
204365,205655,Glare III,350,1.0,5600,2000,4590,595,5780,21000,3840
205835,207125,Dia,85,1.0,5600,2000,4590,680,5780,21000,3840
205835,208500,Dia (dot),85,1.0,5600,2000,4590,680,5865,21000,3840
209725,210257,Auto,90,1.0,5600,2000,4680,680,5865,21000,3840
209225,210515,Glare III,350,1.0,5600,2000,4680,680,5865,21350,3840
