sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Aerial Blast (pet),Akh Morn (pet),Astral Impulse,Auto,Crimson Cyclone,Crimson Strike,Deathflare,Earthen Fury (pet),Emerald Rite,Energy Drain,Exodus (pet),Fountain of Fire,Inferno (pet),Luxwave (pet),Mountain Buster,Necrotize,Revelation (pet),Ruby Rite,Ruin III,Ruin IV,Scarlet Flame (pet),Searing Flash,Slipstream,Slipstream (dot),Sunflare,Topaz Rite,Umbral Impulse,Wyrmwave (pet)
69610,69610,Akh Morn (pet),1300,1.0,800,1300,1500,1980,560,560,0,800,1120,400,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,300
68910,69710,Deathflare,500,1.0,800,1300,1500,1980,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,300
69779,70311,Auto,90,1.0,800,1300,1500,2070,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,300
70690,71360,Astral Impulse,500,1.0,800,1300,2000,2070,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,300
71719,71719,Wyrmwave (pet),150,1.0,800,1300,2000,2070,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,450
73269,73269,Wyrmwave (pet),150,1.0,800,1300,2000,2070,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,600
72899,73431,Auto,90,1.0,800,1300,2000,2160,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,600
73170,73840,Astral Impulse,500,1.0,800,1300,2500,2160,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,600
75650,76320,Astral Impulse,500,1.0,800,1300,3000,2160,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,600
76019,76551,Auto,90,1.0,800,1300,3000,2250,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,600
79120,79920,Ruin III,400,1.0,800,1300,3000,2250,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,1200,520,0,700,520,180,1000,1360,3840,600
79620,80152,Auto,90,1.0,800,1300,3000,2340,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,1200,520,0,700,520,180,1000,1360,3840,600
80610,81410,Ruin IV,520,1.0,800,1300,3000,2340,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,1200,1040,0,700,520,180,1000,1360,3840,600
82740,83272,Auto,90,1.0,800,1300,3000,2430,560,560,500,800,1120,400,1500,0,800,640,640,1000,0,1240,1200,1040,0,700,520,180,1000,1360,3840,600
85190,85190,Inferno (pet),800,1.0,800,1300,3000,2430,560,560,500,800,1120,400,1500,0,1600,640,640,1000,0,1240,1200,1040,0,700,520,180,1000,1360,3840,600
87850,88470,Ruby Rite,620,1.0,800,1300,3000,2430,560,560,500,800,1120,400,1500,0,1600,640,640,1000,0,1860,1200,1040,0,700,520,180,1000,1360,3840,600
88350,88882,Auto,90,1.0,800,1300,3000,2520,560,560,500,800,1120,400,1500,0,1600,640,640,1000,0,1860,1200,1040,0,700,520,180,1000,1360,3840,600
90830,91450,Ruby Rite,620,1.0,800,1300,3000,2520,560,560,500,800,1120,400,1500,0,1600,640,640,1000,0,2480,1200,1040,0,700,520,180,1000,1360,3840,600
91470,92002,Auto,90,1.0,800,1300,3000,2610,560,560,500,800,1120,400,1500,0,1600,640,640,1000,0,2480,1200,1040,0,700,520,180,1000,1360,3840,600
91530,92330,Crimson Cyclone,560,1.0,800,1300,3000,2610,1120,560,500,800,1120,400,1500,0,1600,640,640,1000,0,2480,1200,1040,0,700,520,180,1000,1360,3840,600
94010,94770,Crimson Strike,560,1.0,800,1300,3000,2610,1120,1120,500,800,1120,400,1500,0,1600,640,640,1000,0,2480,1200,1040,0,700,520,180,1000,1360,3840,600
94590,95122,Auto,90,1.0,800,1300,3000,2700,1120,1120,500,800,1120,400,1500,0,1600,640,640,1000,0,2480,1200,1040,0,700,520,180,1000,1360,3840,600
97710,98242,Auto,90,1.0,800,1300,3000,2790,1120,1120,500,800,1120,400,1500,0,1600,640,640,1000,0,2480,1200,1040,0,700,520,180,1000,1360,3840,600
98590,98590,Earthen Fury (pet),800,1.0,800,1300,3000,2790,1120,1120,500,1600,1120,400,1500,0,1600,640,640,1000,0,2480,1200,1040,0,700,520,180,1000,1360,3840,600
98970,99590,Topaz Rite,340,1.0,800,1300,3000,2790,1120,1120,500,1600,1120,400,1500,0,1600,640,640,1000,0,2480,1200,1040,0,700,520,180,1000,1700,3840,600
99670,100430,Mountain Buster,160,1.0,800,1300,3000,2790,1120,1120,500,1600,1120,400,1500,0,1600,640,800,1000,0,2480,1200,1040,0,700,520,180,1000,1700,3840,600
100830,101362,Auto,90,1.0,800,1300,3000,2880,1120,1120,500,1600,1120,400,1500,0,1600,640,800,1000,0,2480,1200,1040,0,700,520,180,1000,1700,3840,600
101450,102070,Topaz Rite,340,1.0,800,1300,3000,2880,1120,1120,500,1600,1120,400,1500,0,1600,640,800,1000,0,2480,1200,1040,0,700,520,180,1000,2040,3840,600
102150,102910,Mountain Buster,160,1.0,800,1300,3000,2880,1120,1120,500,1600,1120,400,1500,0,1600,640,960,1000,0,2480,1200,1040,0,700,520,180,1000,2040,3840,600
103950,104482,Auto,90,1.0,800,1300,3000,2970,1120,1120,500,1600,1120,400,1500,0,1600,640,960,1000,0,2480,1200,1040,0,700,520,180,1000,2040,3840,600
103930,104550,Topaz Rite,340,1.0,800,1300,3000,2970,1120,1120,500,1600,1120,400,1500,0,1600,640,960,1000,0,2480,1200,1040,0,700,520,180,1000,2380,3840,600
