sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
231877,232409,Auto,8941.0,636401,1536926,426628,795113,574267,112214,462359,513772,260642,355994,492857,305790
232675,233298,Maim,30239.0,636401,1536926,426628,795113,604506,112214,462359,513772,260642,355994,492857,305790
235237,235769,Auto,8941.0,645342,1536926,426628,795113,604506,112214,462359,513772,260642,355994,492857,305790
235175,235798,Fell Cleave,51589.0,645342,1588515,426628,795113,604506,112214,462359,513772,260642,355994,492857,305790
238597,239129,Auto,8941.0,654283,1588515,426628,795113,604506,112214,462359,513772,260642,355994,492857,305790
237675,239190,Storm's Path,44474.0,654283,1588515,426628,795113,604506,112214,462359,513772,260642,355994,537331,305790
240175,240707,Heavy Swing,21341.0,654283,1588515,447969,795113,604506,112214,462359,513772,260642,355994,537331,305790
241957,242489,Auto,8941.0,663224,1588515,447969,795113,604506,112214,462359,513772,260642,355994,537331,305790
242675,243298,Maim,30239.0,663224,1588515,447969,795113,634745,112214,462359,513772,260642,355994,537331,305790
245175,245798,Fell Cleave,54168.0,663224,1642683,447969,795113,634745,112214,462359,513772,260642,355994,537331,305790
245317,245849,Auto,9387.0,672611,1642683,447969,795113,634745,112214,462359,513772,260642,355994,537331,305790
247675,248612,Inner Chaos,112761.0,672611,1642683,447969,907874,634745,112214,462359,513772,260642,355994,537331,305790
248300,248923,Upheaval,39223.0,672611,1642683,447969,907874,634745,112214,462359,513772,260642,355994,537331,345013
248677,249209,Auto,9387.0,681998,1642683,447969,907874,634745,112214,462359,513772,260642,355994,537331,345013
248925,249592,Onslaught,14005.0,681998,1642683,447969,907874,634745,126219,462359,513772,260642,355994,537331,345013
250175,251335,Primal Rend,115974.0,681998,1642683,447969,907874,634745,126219,578333,513772,260642,355994,537331,345013
251375,252042,Onslaught,14005.0,681998,1642683,447969,907874,634745,140224,578333,513772,260642,355994,537331,345013
