sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
486250,487007,Abdomen Tear,29126.0,459511,1330356,1235602,135088,270060,886145,610883,900925,486621,721177,261737,360568,699308,894471,810567,720730,819624,1077804,305975,539885,872365
488093,488625,Auto,10439.0,459511,1340795,1235602,135088,270060,886145,610883,900925,486621,721177,261737,360568,699308,894471,810567,720730,819624,1077804,305975,539885,872365
487500,488662,Wicked Talon,69834.0,459511,1340795,1235602,135088,270060,886145,610883,900925,486621,721177,261737,360568,699308,894471,810567,720730,819624,1077804,305975,539885,942199
488125,489106,Eye Gouge,37406.0,459511,1340795,1235602,135088,270060,886145,610883,900925,524027,721177,261737,360568,699308,894471,810567,720730,819624,1077804,305975,539885,942199
490000,490716,Double Down,124714.0,459511,1340795,1235602,135088,270060,886145,610883,1025639,524027,721177,261737,360568,699308,894471,810567,720730,819624,1077804,305975,539885,942199
490625,491252,Bow Shock,18699.0,459511,1340795,1235602,153787,270060,886145,610883,1025639,524027,721177,261737,360568,699308,894471,810567,720730,819624,1077804,305975,539885,942199
490893,491425,Auto,10439.0,459511,1351234,1235602,153787,270060,886145,610883,1025639,524027,721177,261737,360568,699308,894471,810567,720730,819624,1077804,305975,539885,942199
491250,491875,Blasting Zone,99770.0,459511,1351234,1335372,153787,270060,886145,610883,1025639,524027,721177,261737,360568,699308,894471,810567,720730,819624,1077804,305975,539885,942199
490625,493500,Bow Shock (dot),7476.0,459511,1351234,1335372,153787,277536,886145,610883,1025639,524027,721177,261737,360568,699308,894471,810567,720730,819624,1077804,305975,539885,942199
492500,493660,Reign of Beasts,99770.0,459511,1351234,1335372,153787,277536,886145,610883,1025639,524027,721177,261737,360568,699308,894471,810567,820500,819624,1077804,305975,539885,942199
