sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Air Anchor,Arm Punch (pet),Blazing Shot,Chain Saw,Checkmate,Crowned Collider (pet),Double Check,Drill,Excavator,Full Metal Field,Heated Clean Shot,Heated Slug Shot,Heated Split Shot,Pile Bunker (pet),Roller Dash (pet),Shot,Wildfire (dot)
64015,65045,Chain Saw,81629.0,233846,96909,345220,169978,218539,60943,218539,424976,93649,220027,155838,161555,112831,91545,64616,191121,160296
65131,65131,Crowned Collider (pet),44069.0,233846,96909,345220,169978,218539,105012,218539,424976,93649,220027,155838,161555,112831,91545,64616,191121,160296
66150,66908,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,424976,93649,220027,155838,161555,112831,91545,64616,198372,160296
66516,67586,Excavator,140638.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,155838,161555,112831,91545,64616,198372,160296
68790,69548,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,155838,161555,112831,91545,64616,205623,160296
69016,69816,Heated Clean Shot,51946.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,161555,112831,91545,64616,205623,160296
71430,72188,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,161555,112831,91545,64616,212874,160296
71517,72317,Heated Split Shot,27207.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,161555,140038,91545,64616,212874,160296
74017,74817,Heated Slug Shot,39574.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,201129,140038,91545,64616,212874,160296
74070,74828,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,201129,140038,91545,64616,220125,160296
76710,77468,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,201129,140038,91545,64616,227376,160296
76518,77668,Drill,81629.0,233846,96909,345220,169978,218539,105012,218539,506605,234287,220027,207784,201129,140038,91545,64616,227376,160296
79350,80108,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,506605,234287,220027,207784,201129,140038,91545,64616,234627,160296
80137,80137,Roller Dash (pet),27114.0,233846,96909,345220,169978,218539,105012,218539,506605,234287,220027,207784,201129,140038,91545,91730,234627,160296
79018,80168,Air Anchor,81629.0,315475,96909,345220,169978,218539,105012,218539,506605,234287,220027,207784,201129,140038,91545,91730,234627,160296
81519,82319,Heated Clean Shot,51946.0,315475,96909,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,140038,91545,91730,234627,160296
81990,82748,Shot,7251.0,315475,96909,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,140038,91545,91730,241878,160296
83337,83337,Arm Punch (pet),13555.0,315475,110464,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,140038,91545,91730,241878,160296
84019,84819,Heated Split Shot,27207.0,315475,110464,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,167245,91545,91730,241878,160296
84937,84937,Arm Punch (pet),13555.0,315475,124019,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,167245,91545,91730,241878,160296
84630,85388,Shot,7251.0,315475,124019,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,167245,91545,91730,249129,160296
86537,86537,Arm Punch (pet),13555.0,315475,137574,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,167245,91545,91730,249129,160296
86520,87320,Heated Slug Shot,39574.0,315475,137574,345220,169978,218539,105012,218539,506605,234287,220027,259730,240703,167245,91545,91730,249129,160296
87270,88028,Shot,7251.0,315475,137574,345220,169978,218539,105012,218539,506605,234287,220027,259730,240703,167245,91545,91730,256380,160296
88137,88137,Pile Bunker (pet),38417.0,315475,137574,345220,169978,218539,105012,218539,506605,234287,220027,259730,240703,167245,129962,91730,256380,160296
89020,89820,Heated Clean Shot,51946.0,315475,137574,345220,169978,218539,105012,218539,506605,234287,220027,311676,240703,167245,129962,91730,256380,160296
90137,90137,Crowned Collider (pet),44069.0,315475,137574,345220,169978,218539,149081,218539,506605,234287,220027,311676,240703,167245,129962,91730,256380,160296
89910,90668,Shot,7251.0,315475,137574,345220,169978,218539,149081,218539,506605,234287,220027,311676,240703,167245,129962,91730,263631,160296
91521,92321,Heated Split Shot,27207.0,315475,137574,345220,169978,218539,149081,218539,506605,234287,220027,311676,240703,194452,129962,91730,263631,160296
92550,93308,Shot,7251.0,315475,137574,345220,169978,218539,149081,218539,506605,234287,220027,311676,240703,194452,129962,91730,270882,160296
94021,94821,Heated Slug Shot,39574.0,315475,137574,345220,169978,218539,149081,218539,506605,234287,220027,311676,280277,194452,129962,91730,270882,160296
94641,95351,Double Check,22256.0,315475,137574,345220,169978,218539,149081,240795,506605,234287,220027,311676,280277,194452,129962,91730,270882,160296
95190,95948,Shot,7251.0,315475,137574,345220,169978,218539,149081,240795,506605,234287,220027,311676,280277,194452,129962,91730,278133,160296
95261,95971,Checkmate,22256.0,315475,137574,345220,169978,240795,149081,240795,506605,234287,220027,311676,280277,194452,129962,91730,278133,160296
96522,97322,Heated Clean Shot,51946.0,315475,137574,345220,169978,240795,149081,240795,506605,234287,220027,363622,280277,194452,129962,91730,278133,160296
97830,98588,Shot,7251.0,315475,137574,345220,169978,240795,149081,240795,506605,234287,220027,363622,280277,194452,129962,91730,285384,160296
99022,99822,Heated Split Shot,27207.0,315475,137574,345220,169978,240795,149081,240795,506605,234287,220027,363622,280277,221659,129962,91730,285384,160296
100470,101228,Shot,7251.0,315475,137574,345220,169978,240795,149081,240795,506605,234287,220027,363622,280277,221659,129962,91730,292635,160296
101523,102673,Drill,81629.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,363622,280277,221659,129962,91730,292635,160296
103110,103868,Shot,7251.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,363622,280277,221659,129962,91730,299886,160296
104023,104823,Heated Slug Shot,39574.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,363622,319851,221659,129962,91730,299886,160296
105750,106508,Shot,7251.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,363622,319851,221659,129962,91730,307137,160296
106524,107324,Heated Clean Shot,51946.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,415568,319851,221659,129962,91730,307137,160296
108390,109148,Shot,7251.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,415568,319851,221659,129962,91730,314388,160296
109024,109824,Heated Split Shot,27207.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,415568,319851,248866,129962,91730,314388,160296
111030,111788,Shot,7251.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,415568,319851,248866,129962,91730,321639,160296
111525,112325,Heated Slug Shot,39574.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,415568,359425,248866,129962,91730,321639,160296
113670,114428,Shot,7251.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,415568,359425,248866,129962,91730,328890,160296
114025,114825,Heated Clean Shot,51946.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,467514,359425,248866,129962,91730,328890,160296
116310,117068,Shot,7251.0,315475,137574,345220,169978,240795,149081,240795,588234,234287,220027,467514,359425,248866,129962,91730,336141,160296
116526,117676,Drill,81629.0,315475,137574,345220,169978,240795,149081,240795,669863,234287,220027,467514,359425,248866,129962,91730,336141,160296
118950,119708,Shot,7251.0,315475,137574,345220,169978,240795,149081,240795,669863,234287,220027,467514,359425,248866,129962,91730,343392,160296
119026,120176,Air Anchor,81629.0,397104,137574,345220,169978,240795,149081,240795,669863,234287,220027,467514,359425,248866,129962,91730,343392,160296
121590,122348,Shot,7251.0,397104,137574,345220,169978,240795,149081,240795,669863,234287,220027,467514,359425,248866,129962,91730,350643,160296
121527,122677,Drill,81629.0,397104,137574,345220,169978,240795,149081,240795,751492,234287,220027,467514,359425,248866,129962,91730,350643,160296
122767,123477,Double Check,22256.0,397104,137574,345220,169978,240795,149081,263051,751492,234287,220027,467514,359425,248866,129962,91730,350643,160296
124230,124988,Shot,7251.0,397104,137574,345220,169978,240795,149081,263051,751492,234287,220027,467514,359425,248866,129962,91730,357894,160296
124027,125057,Chain Saw,81629.0,397104,137574,345220,251607,240795,149081,263051,751492,234287,220027,467514,359425,248866,129962,91730,357894,160296
125146,125146,Roller Dash (pet),48811.0,397104,137574,345220,251607,240795,149081,263051,751492,234287,220027,467514,359425,248866,129962,140541,357894,160296
125267,125977,Checkmate,22256.0,397104,137574,345220,251607,263051,149081,263051,751492,234287,220027,467514,359425,248866,129962,140541,357894,160296
126528,127598,Excavator,149076.0,397104,137574,345220,251607,263051,149081,263051,751492,383363,220027,467514,359425,248866,129962,140541,357894,160296
126870,127628,Shot,7685.0,397104,137574,345220,251607,263051,149081,263051,751492,383363,220027,467514,359425,248866,129962,140541,365579,160296
127148,127858,Checkmate,23590.0,397104,137574,345220,251607,286641,149081,263051,751492,383363,220027,467514,359425,248866,129962,140541,365579,160296
128346,128346,Arm Punch (pet),25864.0,397104,163438,345220,251607,286641,149081,263051,751492,383363,220027,467514,359425,248866,129962,140541,365579,160296
129946,129946,Arm Punch (pet),25864.0,397104,189302,345220,251607,286641,149081,263051,751492,383363,220027,467514,359425,248866,129962,140541,365579,160296
129027,130057,Full Metal Field,203290.0,397104,189302,345220,251607,286641,149081,263051,751492,383363,423317,467514,359425,248866,129962,140541,365579,160296
129510,130268,Shot,7685.0,397104,189302,345220,251607,286641,149081,263051,751492,383363,423317,467514,359425,248866,129962,140541,373264,160296
129648,130358,Double Check,23590.0,397104,189302,345220,251607,286641,149081,286641,751492,383363,423317,467514,359425,248866,129962,140541,373264,160296
131546,131546,Arm Punch (pet),25864.0,397104,215166,345220,251607,286641,149081,286641,751492,383363,423317,467514,359425,248866,129962,140541,373264,160296
131529,132379,Blazing Shot,34083.0,397104,215166,379303,251607,286641,149081,286641,751492,383363,423317,467514,359425,248866,129962,140541,373264,160296
132150,132908,Shot,7685.0,397104,215166,379303,251607,286641,149081,286641,751492,383363,423317,467514,359425,248866,129962,140541,380949,160296
