sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
150072,151142,Fall Malefic,33295.0,0,472450,2027784,108989,234227,117644
144562,151500,Combust III (dot),9786.0,0,482236,2027784,108989,234227,117644
151462,151994,Auto,0.0,0,482236,2027784,108989,234227,117644
152382,153452,Fall Malefic,33295.0,0,482236,2061079,108989,234227,117644
144562,154500,Combust III (dot),9786.0,0,492022,2061079,108989,234227,117644
155192,155724,Auto,0.0,0,492022,2061079,108989,234227,117644
154692,155762,Fall Malefic,33295.0,0,492022,2094374,108989,234227,117644
144562,157500,Combust III (dot),9786.0,0,501808,2094374,108989,234227,117644
157002,158072,Fall Malefic,33295.0,0,501808,2127669,108989,234227,117644
158392,158924,Auto,0.0,0,501808,2127669,108989,234227,117644
159312,160382,Fall Malefic,33295.0,0,501808,2160964,108989,234227,117644
144562,160500,Combust III (dot),9786.0,0,511594,2160964,108989,234227,117644
162122,162654,Auto,0.0,0,511594,2160964,108989,234227,117644
161622,162692,Fall Malefic,33295.0,0,511594,2194259,108989,234227,117644
144562,163500,Combust III (dot),9786.0,0,521380,2194259,108989,234227,117644
163932,165002,Fall Malefic,33295.0,0,521380,2227554,108989,234227,117644
165322,165854,Auto,0.0,0,521380,2227554,108989,234227,117644
144562,166500,Combust III (dot),9786.0,0,531166,2227554,108989,234227,117644
166242,167312,Fall Malefic,33295.0,0,531166,2260849,108989,234227,117644
144562,169500,Combust III (dot),9786.0,0,540952,2260849,108989,234227,117644
169052,169584,Auto,0.0,0,540952,2260849,108989,234227,117644
168552,169622,Fall Malefic,33295.0,0,540952,2294144,108989,234227,117644
170862,171932,Fall Malefic,33295.0,0,540952,2327439,108989,234227,117644
144562,172500,Combust III (dot),9786.0,0,550738,2327439,108989,234227,117644
172252,172784,Auto,0.0,0,550738,2327439,108989,234227,117644
173172,174242,Fall Malefic,33295.0,0,550738,2360734,108989,234227,117644
174592,175500,Combust III (dot),9233.0,0,559971,2360734,108989,234227,117644
175452,175984,Auto,0.0,0,559971,2360734,108989,234227,117644
174592,178500,Combust III (dot),9233.0,0,569204,2360734,108989,234227,117644
177792,178862,Fall Malefic,33295.0,0,569204,2394029,108989,234227,117644
178652,179184,Auto,0.0,0,569204,2394029,108989,234227,117644
180102,181172,Fall Malefic,33295.0,0,569204,2427324,108989,234227,117644
174592,181500,Combust III (dot),9233.0,0,578437,2427324,108989,234227,117644
182912,183444,Auto,0.0,0,578437,2427324,108989,234227,117644
182412,183482,Fall Malefic,33295.0,0,578437,2460619,108989,234227,117644
174592,184500,Combust III (dot),9233.0,0,587670,2460619,108989,234227,117644
184722,185792,Fall Malefic,33295.0,0,587670,2493914,108989,234227,117644
186112,186644,Auto,0.0,0,587670,2493914,108989,234227,117644
174592,187500,Combust III (dot),9233.0,0,596903,2493914,108989,234227,117644
187032,188102,Fall Malefic,33295.0,0,596903,2527209,108989,234227,117644
189152,189152,Stellar Explosion (pet),36627.0,0,596903,2527209,108989,234227,154271
189843,190375,Auto,0.0,0,596903,2527209,108989,234227,154271
189343,190413,Fall Malefic,33295.0,0,596903,2560504,108989,234227,154271
174592,190500,Combust III (dot),9233.0,0,606136,2560504,108989,234227,154271
191653,192723,Fall Malefic,33295.0,0,606136,2593799,108989,234227,154271
174592,193500,Combust III (dot),9233.0,0,615369,2593799,108989,234227,154271
193043,193575,Auto,0.0,0,615369,2593799,108989,234227,154271
