sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Air Anchor,Arm Punch (pet),Blazing Shot,Chain Saw,Checkmate,Crowned Collider (pet),Double Check,Drill,Excavator,Full Metal Field,Heated Clean Shot,Heated Slug Shot,Heated Split Shot,Pile Bunker (pet),Roller Dash (pet),Shot,Wildfire (dot)
116526,117676,Drill,81629.0,315475,140574,355060,169978,247605,152332,247605,684943,239282,233776,467514,359425,250531,132796,93731,339249,160296
118950,119708,Shot,7251.0,315475,140574,355060,169978,247605,152332,247605,684943,239282,233776,467514,359425,250531,132796,93731,346500,160296
119026,120176,Air Anchor,81629.0,397104,140574,355060,169978,247605,152332,247605,684943,239282,233776,467514,359425,250531,132796,93731,346500,160296
121590,122348,Shot,7251.0,397104,140574,355060,169978,247605,152332,247605,684943,239282,233776,467514,359425,250531,132796,93731,353751,160296
121527,122677,Drill,81629.0,397104,140574,355060,169978,247605,152332,247605,766572,239282,233776,467514,359425,250531,132796,93731,353751,160296
122767,123477,Double Check,22256.0,397104,140574,355060,169978,247605,152332,269861,766572,239282,233776,467514,359425,250531,132796,93731,353751,160296
124230,124988,Shot,7251.0,397104,140574,355060,169978,247605,152332,269861,766572,239282,233776,467514,359425,250531,132796,93731,361002,160296
124027,125057,Chain Saw,81629.0,397104,140574,355060,251607,247605,152332,269861,766572,239282,233776,467514,359425,250531,132796,93731,361002,160296
125146,125146,Roller Dash (pet),48811.0,397104,140574,355060,251607,247605,152332,269861,766572,239282,233776,467514,359425,250531,132796,142542,361002,160296
125267,125977,Checkmate,22256.0,397104,140574,355060,251607,269861,152332,269861,766572,239282,233776,467514,359425,250531,132796,142542,361002,160296
126528,127598,Excavator,158394.0,397104,140574,355060,251607,269861,152332,269861,766572,397676,233776,467514,359425,250531,132796,142542,361002,160296
126870,127628,Shot,8095.0,397104,140574,355060,251607,269861,152332,269861,766572,397676,233776,467514,359425,250531,132796,142542,369097,160296
127148,127858,Checkmate,24849.0,397104,140574,355060,251607,294710,152332,269861,766572,397676,233776,467514,359425,250531,132796,142542,369097,160296
128346,128346,Arm Punch (pet),27244.0,397104,167818,355060,251607,294710,152332,269861,766572,397676,233776,467514,359425,250531,132796,142542,369097,160296
129946,129946,Arm Punch (pet),27244.0,397104,195062,355060,251607,294710,152332,269861,766572,397676,233776,467514,359425,250531,132796,142542,369097,160296
129027,130057,Full Metal Field,215994.0,397104,195062,355060,251607,294710,152332,269861,766572,397676,449770,467514,359425,250531,132796,142542,369097,160296
129510,130268,Shot,8095.0,397104,195062,355060,251607,294710,152332,269861,766572,397676,449770,467514,359425,250531,132796,142542,377192,160296
129648,130358,Double Check,24849.0,397104,195062,355060,251607,294710,152332,294710,766572,397676,449770,467514,359425,250531,132796,142542,377192,160296
