sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Blizzard III,Blizzard IV,Despair,Fire III,Fire IV,Flare Star,High Thunder,Paradox,Thunder (dot),Xenoglossy
129363,129895,Auto,90,1.0,3330,870,900,1400,1160,9600,2500,750,3780,2280,1780
128863,130500,Thunder (dot),60,1.0,3330,870,900,1400,1160,9600,2500,750,3780,2340,1780
130332,131492,Fire IV,300,1.0,3330,870,900,1400,1160,9900,2500,750,3780,2340,1780
132663,133195,Auto,90,1.0,3420,870,900,1400,1160,9900,2500,750,3780,2340,1780
132163,133323,Fire IV,300,1.0,3420,870,900,1400,1160,10200,2500,750,3780,2340,1780
128863,133500,Thunder (dot),60,1.0,3420,870,900,1400,1160,10200,2500,750,3780,2400,1780
133993,135153,Fire IV,300,1.0,3420,870,900,1400,1160,10500,2500,750,3780,2400,1780
128863,136500,Thunder (dot),60,1.0,3420,870,900,1400,1160,10500,2500,750,3780,2460,1780
136323,136855,Auto,90,1.0,3510,870,900,1400,1160,10500,2500,750,3780,2460,1780
135823,136983,Fire IV,300,1.0,3510,870,900,1400,1160,10800,2500,750,3780,2460,1780
137653,138273,Flare Star,500,1.0,3510,870,900,1400,1160,10800,3000,750,3780,2460,1780
138523,139143,Xenoglossy,890,1.0,3510,870,900,1400,1160,10800,3000,750,3780,2460,2670
128863,139500,Thunder (dot),60,1.0,3510,870,900,1400,1160,10800,3000,750,3780,2520,2670
139103,139635,Auto,90,1.0,3600,870,900,1400,1160,10800,3000,750,3780,2520,2670
140353,140973,Xenoglossy,890,1.0,3600,870,900,1400,1160,10800,3000,750,3780,2520,3560
141883,142415,Auto,90,1.0,3690,870,900,1400,1160,10800,3000,750,3780,2520,3560
128863,142500,Thunder (dot),60,1.0,3690,870,900,1400,1160,10800,3000,750,3780,2580,3560
142183,142803,Xenoglossy,890,1.0,3690,870,900,1400,1160,10800,3000,750,3780,2580,4450
144013,144633,Xenoglossy,890,1.0,3690,870,900,1400,1160,10800,3000,750,3780,2580,5340
144663,145195,Auto,90,1.0,3780,870,900,1400,1160,10800,3000,750,3780,2580,5340
128863,145500,Thunder (dot),60,1.0,3780,870,900,1400,1160,10800,3000,750,3780,2640,5340
145843,146333,Despair,350,1.0,3780,870,900,1750,1160,10800,3000,750,3780,2640,5340
147443,147975,Auto,90,1.0,3870,870,900,1750,1160,10800,3000,750,3780,2640,5340
128863,148500,Thunder (dot),60,1.0,3870,870,900,1750,1160,10800,3000,750,3780,2700,5340
147993,148833,Blizzard III,290,1.0,3870,1160,900,1750,1160,10800,3000,750,3780,2700,5340
128863,151500,Thunder (dot),60,1.0,3870,1160,900,1750,1160,10800,3000,750,3780,2760,5340
151863,152395,Auto,90,1.0,3960,1160,900,1750,1160,10800,3000,750,3780,2760,5340
151363,152523,Blizzard IV,300,1.0,3960,1160,1200,1750,1160,10800,3000,750,3780,2760,5340
152293,152963,Paradox,540,1.0,3960,1160,1200,1750,1160,10800,3000,750,4320,2760,5340
128863,154500,Thunder (dot),60,1.0,3960,1160,1200,1750,1160,10800,3000,750,4320,2820,5340
155143,155675,Auto,90,1.0,4050,1160,1200,1750,1160,10800,3000,750,4320,2820,5340
154443,155733,Fire III,290,1.0,4050,1160,1200,1750,1450,10800,3000,750,4320,2820,5340
128863,157500,Thunder (dot),60,1.0,4050,1160,1200,1750,1450,10800,3000,750,4320,2880,5340
158423,158955,Auto,90,1.0,4140,1160,1200,1750,1450,10800,3000,750,4320,2880,5340
157813,158973,Fire IV,300,1.0,4140,1160,1200,1750,1450,11100,3000,750,4320,2880,5340
160393,161153,High Thunder,150,1.0,4140,1160,1200,1750,1450,11100,3000,900,4320,2880,5340
162613,163145,Auto,90,1.0,4230,1160,1200,1750,1450,11100,3000,900,4320,2880,5340
162113,163273,Fire IV,300,1.0,4230,1160,1200,1750,1450,11400,3000,900,4320,2880,5340
160393,163500,Thunder (dot),60,1.0,4230,1160,1200,1750,1450,11400,3000,900,4320,2940,5340
164263,165423,Fire IV,300,1.0,4230,1160,1200,1750,1450,11700,3000,900,4320,2940,5340
160393,166500,Thunder (dot),60,1.0,4230,1160,1200,1750,1450,11700,3000,900,4320,3000,5340
166913,167445,Auto,90,1.0,4320,1160,1200,1750,1450,11700,3000,900,4320,3000,5340
166413,167573,Fire IV,300,1.0,4320,1160,1200,1750,1450,12000,3000,900,4320,3000,5340
160393,169500,Thunder (dot),60,1.0,4320,1160,1200,1750,1450,12000,3000,900,4320,3060,5340
168563,169723,Fire IV,300,1.0,4320,1160,1200,1750,1450,12300,3000,900,4320,3060,5340
171214,171746,Auto,90,1.0,4410,1160,1200,1750,1450,12300,3000,900,4320,3060,5340
170714,171874,Fire IV,300,1.0,4410,1160,1200,1750,1450,12600,3000,900,4320,3060,5340
171644,172314,Paradox,540,1.0,4410,1160,1200,1750,1450,12600,3000,900,4860,3060,5340
160393,172500,Thunder (dot),60,1.0,4410,1160,1200,1750,1450,12600,3000,900,4860,3120,5340
173794,174414,Flare Star,500,1.0,4410,1160,1200,1750,1450,12600,3500,900,4860,3120,5340
174494,175026,Auto,90,1.0,4500,1160,1200,1750,1450,12600,3500,900,4860,3120,5340
160393,175500,Thunder (dot),60,1.0,4500,1160,1200,1750,1450,12600,3500,900,4860,3180,5340
175944,176434,Despair,350,1.0,4500,1160,1200,2100,1450,12600,3500,900,4860,3180,5340
177774,178306,Auto,90,1.0,4590,1160,1200,2100,1450,12600,3500,900,4860,3180,5340
160393,178500,Thunder (dot),60,1.0,4590,1160,1200,2100,1450,12600,3500,900,4860,3240,5340
178094,178934,Blizzard III,290,1.0,4590,1450,1200,2100,1450,12600,3500,900,4860,3240,5340
180244,181404,Blizzard IV,300,1.0,4590,1450,1500,2100,1450,12600,3500,900,4860,3240,5340
160393,181500,Thunder (dot),60,1.0,4590,1450,1500,2100,1450,12600,3500,900,4860,3300,5340
181054,181586,Auto,90,1.0,4680,1450,1500,2100,1450,12600,3500,900,4860,3300,5340
182394,183064,Paradox,540,1.0,4680,1450,1500,2100,1450,12600,3500,900,5400,3300,5340
160393,184500,Thunder (dot),60,1.0,4680,1450,1500,2100,1450,12600,3500,900,5400,3360,5340
184334,184866,Auto,90,1.0,4770,1450,1500,2100,1450,12600,3500,900,5400,3360,5340
184544,185834,Fire III,290,1.0,4770,1450,1500,2100,1740,12600,3500,900,5400,3360,5340
160393,187500,Thunder (dot),60,1.0,4770,1450,1500,2100,1740,12600,3500,900,5400,3420,5340
188414,188946,Auto,90,1.0,4860,1450,1500,2100,1740,12600,3500,900,5400,3420,5340
187914,189074,Fire IV,300,1.0,4860,1450,1500,2100,1740,12900,3500,900,5400,3420,5340
160393,190500,Thunder (dot),60,1.0,4860,1450,1500,2100,1740,12900,3500,900,5400,3480,5340
190494,191254,High Thunder,150,1.0,4860,1450,1500,2100,1740,12900,3500,1050,5400,3480,5340
192714,193246,Auto,90,1.0,4950,1450,1500,2100,1740,12900,3500,1050,5400,3480,5340
192214,193374,Fire IV,300,1.0,4950,1450,1500,2100,1740,13200,3500,1050,5400,3480,5340
190494,193500,Thunder (dot),60,1.0,4950,1450,1500,2100,1740,13200,3500,1050,5400,3540,5340
194364,195524,Fire IV,300,1.0,4950,1450,1500,2100,1740,13500,3500,1050,5400,3540,5340
190494,196500,Thunder (dot),60,1.0,4950,1450,1500,2100,1740,13500,3500,1050,5400,3600,5340
197014,197546,Auto,90,1.0,5040,1450,1500,2100,1740,13500,3500,1050,5400,3600,5340
196514,197674,Fire IV,300,1.0,5040,1450,1500,2100,1740,13800,3500,1050,5400,3600,5340
190494,199500,Thunder (dot),60,1.0,5040,1450,1500,2100,1740,13800,3500,1050,5400,3660,5340
198664,199824,Fire IV,300,1.0,5040,1450,1500,2100,1740,14100,3500,1050,5400,3660,5340
201314,201846,Auto,90,1.0,5130,1450,1500,2100,1740,14100,3500,1050,5400,3660,5340
200814,201974,Fire IV,300,1.0,5130,1450,1500,2100,1740,14400,3500,1050,5400,3660,5340
190494,202500,Thunder (dot),60,1.0,5130,1450,1500,2100,1740,14400,3500,1050,5400,3720,5340
202964,203584,Flare Star,500,1.0,5130,1450,1500,2100,1740,14400,4000,1050,5400,3720,5340
203894,204564,Paradox,540,1.0,5130,1450,1500,2100,1740,14400,4000,1050,5940,3720,5340
204594,205126,Auto,90,1.0,5220,1450,1500,2100,1740,14400,4000,1050,5940,3720,5340
190494,205500,Thunder (dot),60,1.0,5220,1450,1500,2100,1740,14400,4000,1050,5940,3780,5340
206044,206534,Despair,350,1.0,5220,1450,1500,2450,1740,14400,4000,1050,5940,3780,5340
207874,208406,Auto,90,1.0,5310,1450,1500,2450,1740,14400,4000,1050,5940,3780,5340
190494,208500,Thunder (dot),60,1.0,5310,1450,1500,2450,1740,14400,4000,1050,5940,3840,5340
208194,209034,Blizzard III,290,1.0,5310,1740,1500,2450,1740,14400,4000,1050,5940,3840,5340
190494,211500,Thunder (dot),60,1.0,5310,1740,1500,2450,1740,14400,4000,1050,5940,3900,5340
212064,212596,Auto,90,1.0,5400,1740,1500,2450,1740,14400,4000,1050,5940,3900,5340
211564,212724,Blizzard IV,300,1.0,5400,1740,1800,2450,1740,14400,4000,1050,5940,3900,5340
212494,213164,Paradox,540,1.0,5400,1740,1800,2450,1740,14400,4000,1050,6480,3900,5340
190494,214500,Thunder (dot),60,1.0,5400,1740,1800,2450,1740,14400,4000,1050,6480,3960,5340
215344,215876,Auto,90,1.0,5490,1740,1800,2450,1740,14400,4000,1050,6480,3960,5340
214644,215934,Fire III,290,1.0,5490,1740,1800,2450,2030,14400,4000,1050,6480,3960,5340
190494,217500,Thunder (dot),60,1.0,5490,1740,1800,2450,2030,14400,4000,1050,6480,4020,5340
218624,219156,Auto,90,1.0,5580,1740,1800,2450,2030,14400,4000,1050,6480,4020,5340
218014,219174,Fire IV,300,1.0,5580,1740,1800,2450,2030,14700,4000,1050,6480,4020,5340
190494,220500,Thunder (dot),60,1.0,5580,1740,1800,2450,2030,14700,4000,1050,6480,4080,5340
220594,221354,High Thunder,150,1.0,5580,1740,1800,2450,2030,14700,4000,1200,6480,4080,5340
222814,223346,Auto,90,1.0,5670,1740,1800,2450,2030,14700,4000,1200,6480,4080,5340
222314,223474,Fire IV,300,1.0,5670,1740,1800,2450,2030,15000,4000,1200,6480,4080,5340
220594,223500,Thunder (dot),60,1.0,5670,1740,1800,2450,2030,15000,4000,1200,6480,4140,5340
224464,225624,Fire IV,300,1.0,5670,1740,1800,2450,2030,15300,4000,1200,6480,4140,5340
220594,226500,Thunder (dot),60,1.0,5670,1740,1800,2450,2030,15300,4000,1200,6480,4200,5340
227114,227646,Auto,90,1.0,5760,1740,1800,2450,2030,15300,4000,1200,6480,4200,5340
226614,227774,Fire IV,300,1.0,5760,1740,1800,2450,2030,15600,4000,1200,6480,4200,5340
220594,229500,Thunder (dot),60,1.0,5760,1740,1800,2450,2030,15600,4000,1200,6480,4260,5340
228764,229924,Fire IV,300,1.0,5760,1740,1800,2450,2030,15900,4000,1200,6480,4260,5340
231414,231946,Auto,90,1.0,5850,1740,1800,2450,2030,15900,4000,1200,6480,4260,5340
230914,232074,Fire IV,300,1.0,5850,1740,1800,2450,2030,16200,4000,1200,6480,4260,5340
220594,232500,Thunder (dot),60,1.0,5850,1740,1800,2450,2030,16200,4000,1200,6480,4320,5340
231844,232514,Paradox,540,1.0,5850,1740,1800,2450,2030,16200,4000,1200,7020,4320,5340
233994,234614,Xenoglossy,890,1.0,5850,1740,1800,2450,2030,16200,4000,1200,7020,4320,6230
234694,235226,Auto,90,1.0,5940,1740,1800,2450,2030,16200,4000,1200,7020,4320,6230
220594,235500,Thunder (dot),60,1.0,5940,1740,1800,2450,2030,16200,4000,1200,7020,4380,6230
236144,236634,Despair,350,1.0,5940,1740,1800,2800,2030,16200,4000,1200,7020,4380,6230
220594,238500,Thunder (dot),60,1.0,5940,1740,1800,2800,2030,16200,4000,1200,7020,4440,6230
237974,238506,Auto,90,1.0,6030,1740,1800,2800,2030,16200,4000,1200,7020,4440,6230
239514,240134,Flare Star,500,1.0,6030,1740,1800,2800,2030,16200,4500,1200,7020,4440,6230
220594,241500,Thunder (dot),60,1.0,6030,1740,1800,2800,2030,16200,4500,1200,7020,4500,6230
242164,242696,Auto,90,1.0,6120,1740,1800,2800,2030,16200,4500,1200,7020,4500,6230
241664,242824,Fire IV,300,1.0,6120,1740,1800,2800,2030,16500,4500,1200,7020,4500,6230
242594,243264,Paradox,540,1.0,6120,1740,1800,2800,2030,16500,4500,1200,7560,4500,6230
220594,244500,Thunder (dot),60,1.0,6120,1740,1800,2800,2030,16500,4500,1200,7560,4560,6230
246254,246786,Auto,90,1.0,6210,1740,1800,2800,2030,16500,4500,1200,7560,4560,6230
245754,246914,Fire IV,300,1.0,6210,1740,1800,2800,2030,16800,4500,1200,7560,4560,6230
220594,247500,Thunder (dot),60,1.0,6210,1740,1800,2800,2030,16800,4500,1200,7560,4620,6230
247944,248704,High Thunder,150,1.0,6210,1740,1800,2800,2030,16800,4500,1350,7560,4620,6230
249914,250446,Auto,90,1.0,6300,1740,1800,2800,2030,16800,4500,1350,7560,4620,6230
247944,250500,Thunder (dot),60,1.0,6300,1740,1800,2800,2030,16800,4500,1350,7560,4680,6230
249414,250574,Fire IV,300,1.0,6300,1740,1800,2800,2030,17100,4500,1350,7560,4680,6230
251244,252404,Fire IV,300,1.0,6300,1740,1800,2800,2030,17400,4500,1350,7560,4680,6230
247944,253500,Thunder (dot),60,1.0,6300,1740,1800,2800,2030,17400,4500,1350,7560,4740,6230
253574,254106,Auto,90,1.0,6390,1740,1800,2800,2030,17400,4500,1350,7560,4740,6230
253074,254234,Fire IV,300,1.0,6390,1740,1800,2800,2030,17700,4500,1350,7560,4740,6230
254904,256064,Fire IV,300,1.0,6390,1740,1800,2800,2030,18000,4500,1350,7560,4740,6230
247944,256500,Thunder (dot),60,1.0,6390,1740,1800,2800,2030,18000,4500,1350,7560,4800,6230
256735,257355,Flare Star,500,1.0,6390,1740,1800,2800,2030,18000,5000,1350,7560,4800,6230
257235,257767,Auto,90,1.0,6480,1740,1800,2800,2030,18000,5000,1350,7560,4800,6230
257605,258225,Xenoglossy,890,1.0,6480,1740,1800,2800,2030,18000,5000,1350,7560,4800,7120
247944,259500,Thunder (dot),60,1.0,6480,1740,1800,2800,2030,18000,5000,1350,7560,4860,7120
259435,260055,Xenoglossy,890,1.0,6480,1740,1800,2800,2030,18000,5000,1350,7560,4860,8010
260015,260547,Auto,90,1.0,6570,1740,1800,2800,2030,18000,5000,1350,7560,4860,8010
261265,261885,Xenoglossy,890,1.0,6570,1740,1800,2800,2030,18000,5000,1350,7560,4860,8900
247944,262500,Thunder (dot),60,1.0,6570,1740,1800,2800,2030,18000,5000,1350,7560,4920,8900
262795,263327,Auto,90,1.0,6660,1740,1800,2800,2030,18000,5000,1350,7560,4920,8900
263095,263715,Xenoglossy,890,1.0,6660,1740,1800,2800,2030,18000,5000,1350,7560,4920,9790
