sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aeolian Edge,Aeolian Edge (pet),Armor Crush,Armor Crush (pet),Auto,Bhavacakra,Dokumori,Dream Within a Dream,Fleeting Raiju,Fleeting Raiju (pet),Fuma Shuriken,Gust Slash,Gust Slash (pet),Hyosho Ranryu,Kunai's Bane,Phantom Kamaitachi (pet),Raiton,Spinning Edge,Spinning Edge (pet),Suiton,Tenri Jindo,Zesho Meppo
92035,92567,Auto,7779.0,295349,0,220458,20170,373588,185858,44058,140985,470005,63586,74587,377135,0,441313,166172,75279,496851,307814,16383,204572,164100,126801
94198,94598,Gust Slash,40707.0,295349,0,220458,20170,373588,185858,44058,140985,470005,63586,74587,417842,0,441313,166172,75279,496851,307814,16383,204572,164100,126801
94205,94737,Auto,7779.0,295349,0,220458,20170,381367,185858,44058,140985,470005,63586,74587,417842,0,441313,166172,75279,496851,307814,16383,204572,164100,126801
96406,96406,Armor Crush (pet),15069.0,295349,0,220458,35239,381367,185858,44058,140985,470005,63586,74587,417842,0,441313,166172,75279,496851,307814,16383,204572,164100,126801
96375,96907,Auto,7779.0,295349,0,220458,35239,389146,185858,44058,140985,470005,63586,74587,417842,0,441313,166172,75279,496851,307814,16383,204572,164100,126801
96318,96938,Armor Crush,50884.0,295349,0,271342,35239,389146,185858,44058,140985,470005,63586,74587,417842,0,441313,166172,75279,496851,307814,16383,204572,164100,126801
98526,98526,Spinning Edge (pet),15069.0,295349,0,271342,35239,389146,185858,44058,140985,470005,63586,74587,417842,0,441313,166172,75279,496851,307814,31452,204572,164100,126801
98438,98838,Spinning Edge,30530.0,295349,0,271342,35239,389146,185858,44058,140985,470005,63586,74587,417842,0,441313,166172,75279,496851,338344,31452,204572,164100,126801
98545,99077,Auto,7779.0,295349,0,271342,35239,396925,185858,44058,140985,470005,63586,74587,417842,0,441313,166172,75279,496851,338344,31452,204572,164100,126801
100646,100646,Gust Slash (pet),15069.0,295349,0,271342,35239,396925,185858,44058,140985,470005,63586,74587,417842,15069,441313,166172,75279,496851,338344,31452,204572,164100,126801
100558,100958,Gust Slash,40707.0,295349,0,271342,35239,396925,185858,44058,140985,470005,63586,74587,458549,15069,441313,166172,75279,496851,338344,31452,204572,164100,126801
100715,101247,Auto,7779.0,295349,0,271342,35239,404704,185858,44058,140985,470005,63586,74587,458549,15069,441313,166172,75279,496851,338344,31452,204572,164100,126801
102767,102767,Aeolian Edge (pet),15069.0,295349,15069,271342,35239,404704,185858,44058,140985,470005,63586,74587,458549,15069,441313,166172,75279,496851,338344,31452,204572,164100,126801
102679,103219,Aeolian Edge,56992.0,352341,15069,271342,35239,404704,185858,44058,140985,470005,63586,74587,458549,15069,441313,166172,75279,496851,338344,31452,204572,164100,126801
102885,103417,Auto,7779.0,352341,15069,271342,35239,412483,185858,44058,140985,470005,63586,74587,458549,15069,441313,166172,75279,496851,338344,31452,204572,164100,126801
103299,103919,Bhavacakra,40707.0,352341,15069,271342,35239,412483,226565,44058,140985,470005,63586,74587,458549,15069,441313,166172,75279,496851,338344,31452,204572,164100,126801
104887,104887,Spinning Edge (pet),15069.0,352341,15069,271342,35239,412483,226565,44058,140985,470005,63586,74587,458549,15069,441313,166172,75279,496851,338344,46521,204572,164100,126801
104799,105199,Spinning Edge,30530.0,352341,15069,271342,35239,412483,226565,44058,140985,470005,63586,74587,458549,15069,441313,166172,75279,496851,368874,46521,204572,164100,126801
105055,105587,Auto,7779.0,352341,15069,271342,35239,420262,226565,44058,140985,470005,63586,74587,458549,15069,441313,166172,75279,496851,368874,46521,204572,164100,126801
