sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aeolian Edge,Aeolian Edge (pet),Armor Crush,Armor Crush (pet),Auto,Bhavacakra,Dokumori,Dream Within a Dream,Fleeting Raiju,Fleeting Raiju (pet),Fuma Shuriken,Gust Slash,Gust Slash (pet),Hyosho Ranryu,Kunai's Bane,Phantom Kamaitachi (pet),Raiton,Spinning Edge,Spinning Edge (pet),Suiton,Tenri Jindo,Zesho Meppo
61655,62187,Auto,7779.0,175666,0,161331,17718,247080,133827,44058,70749,275187,55855,65519,250944,0,221463,83390,75279,290904,216224,16383,194053,144149,111385
63372,63772,Gust Slash,40707.0,175666,0,161331,17718,247080,133827,44058,70749,275187,55855,65519,291651,0,221463,83390,75279,290904,216224,16383,194053,144149,111385
63825,64357,Auto,7779.0,175666,0,161331,17718,254859,133827,44058,70749,275187,55855,65519,291651,0,221463,83390,75279,290904,216224,16383,194053,144149,111385
65492,66112,Armor Crush,50884.0,175666,0,212215,17718,254859,133827,44058,70749,275187,55855,65519,291651,0,221463,83390,75279,290904,216224,16383,194053,144149,111385
65995,66527,Auto,7779.0,175666,0,212215,17718,262638,133827,44058,70749,275187,55855,65519,291651,0,221463,83390,75279,290904,216224,16383,194053,144149,111385
67613,68013,Spinning Edge,30530.0,175666,0,212215,17718,262638,133827,44058,70749,275187,55855,65519,291651,0,221463,83390,75279,290904,246754,16383,194053,144149,111385
68165,68697,Auto,7779.0,175666,0,212215,17718,270417,133827,44058,70749,275187,55855,65519,291651,0,221463,83390,75279,290904,246754,16383,194053,144149,111385
68381,69671,Kunai's Bane,71241.0,175666,0,212215,17718,270417,133827,44058,70749,275187,55855,65519,291651,0,221463,154631,75279,290904,246754,16383,194053,144149,111385
69733,70133,Gust Slash,44777.0,175666,0,212215,17718,270417,133827,44058,70749,275187,55855,65519,336428,0,221463,154631,75279,290904,246754,16383,194053,144149,111385
70335,70867,Auto,8556.0,175666,0,212215,17718,278973,133827,44058,70749,275187,55855,65519,336428,0,221463,154631,75279,290904,246754,16383,194053,144149,111385
70702,71402,Dream Within a Dream,20148.0,175666,0,212215,17718,278973,133827,44058,90897,275187,55855,65519,336428,0,221463,154631,75279,290904,246754,16383,194053,144149,111385
70702,71552,Dream Within a Dream,20148.0,175666,0,212215,17718,278973,133827,44058,111045,275187,55855,65519,336428,0,221463,154631,75279,290904,246754,16383,194053,144149,111385
70702,71702,Dream Within a Dream,20148.0,175666,0,212215,17718,278973,133827,44058,131193,275187,55855,65519,336428,0,221463,154631,75279,290904,246754,16383,194053,144149,111385
72505,73037,Auto,8556.0,175666,0,212215,17718,287529,133827,44058,131193,275187,55855,65519,336428,0,221463,154631,75279,290904,246754,16383,194053,144149,111385
72854,73474,Hyosho Ranryu,189199.0,175666,0,212215,17718,287529,133827,44058,131193,275187,55855,65519,336428,0,410662,154631,75279,290904,246754,16383,194053,144149,111385
73474,74094,Bhavacakra,44777.0,175666,0,212215,17718,287529,178604,44058,131193,275187,55855,65519,336428,0,410662,154631,75279,290904,246754,16383,194053,144149,111385
74675,75207,Auto,8556.0,175666,0,212215,17718,296085,178604,44058,131193,275187,55855,65519,336428,0,410662,154631,75279,290904,246754,16383,194053,144149,111385
75355,76065,Raiton,82842.0,175666,0,212215,17718,296085,178604,44058,131193,275187,55855,65519,336428,0,410662,154631,75279,373746,246754,16383,194053,144149,111385
76845,77377,Auto,8556.0,175666,0,212215,17718,304641,178604,44058,131193,275187,55855,65519,336428,0,410662,154631,75279,373746,246754,16383,194053,144149,111385
77857,78567,Raiton,82842.0,175666,0,212215,17718,304641,178604,44058,131193,275187,55855,65519,336428,0,410662,154631,75279,456588,246754,16383,194053,144149,111385
79015,79547,Auto,8556.0,175666,0,212215,17718,313197,178604,44058,131193,275187,55855,65519,336428,0,410662,154631,75279,456588,246754,16383,194053,144149,111385
79357,80117,Fleeting Raiju,78365.0,175666,0,212215,17718,313197,178604,44058,131193,353552,55855,65519,336428,0,410662,154631,75279,456588,246754,16383,194053,144149,111385
81185,81717,Auto,8556.0,175666,0,212215,17718,321753,178604,44058,131193,353552,55855,65519,336428,0,410662,154631,75279,456588,246754,16383,194053,144149,111385
81477,82237,Fleeting Raiju,78365.0,175666,0,212215,17718,321753,178604,44058,131193,431917,55855,65519,336428,0,410662,154631,75279,456588,246754,16383,194053,144149,111385
83355,83887,Auto,8556.0,175666,0,212215,17718,330309,178604,44058,131193,431917,55855,65519,336428,0,410662,154631,75279,456588,246754,16383,194053,144149,111385
83597,84137,Aeolian Edge,62691.0,238357,0,212215,17718,330309,178604,44058,131193,431917,55855,65519,336428,0,410662,154631,75279,456588,246754,16383,194053,144149,111385
85525,86057,Auto,7779.0,238357,0,212215,17718,338088,178604,44058,131193,431917,55855,65519,336428,0,410662,154631,75279,456588,246754,16383,194053,144149,111385
85718,86118,Spinning Edge,30530.0,238357,0,212215,17718,338088,178604,44058,131193,431917,55855,65519,336428,0,410662,154631,75279,456588,277284,16383,194053,144149,111385
87695,88227,Auto,7779.0,238357,0,212215,17718,345867,178604,44058,131193,431917,55855,65519,336428,0,410662,154631,75279,456588,277284,16383,194053,144149,111385
87838,88238,Gust Slash,40707.0,238357,0,212215,17718,345867,178604,44058,131193,431917,55855,65519,377135,0,410662,154631,75279,456588,277284,16383,194053,144149,111385
89865,90397,Auto,7779.0,238357,0,212215,17718,353646,178604,44058,131193,431917,55855,65519,377135,0,410662,154631,75279,456588,277284,16383,194053,144149,111385
89958,90498,Aeolian Edge,56992.0,295349,0,212215,17718,353646,178604,44058,131193,431917,55855,65519,377135,0,410662,154631,75279,456588,277284,16383,194053,144149,111385
92078,92478,Spinning Edge,30530.0,295349,0,212215,17718,353646,178604,44058,131193,431917,55855,65519,377135,0,410662,154631,75279,456588,307814,16383,194053,144149,111385
92035,92567,Auto,7779.0,295349,0,212215,17718,361425,178604,44058,131193,431917,55855,65519,377135,0,410662,154631,75279,456588,307814,16383,194053,144149,111385
94198,94598,Gust Slash,40707.0,295349,0,212215,17718,361425,178604,44058,131193,431917,55855,65519,417842,0,410662,154631,75279,456588,307814,16383,194053,144149,111385
94205,94737,Auto,7779.0,295349,0,212215,17718,369204,178604,44058,131193,431917,55855,65519,417842,0,410662,154631,75279,456588,307814,16383,194053,144149,111385
96406,96406,Armor Crush (pet),15069.0,295349,0,212215,32787,369204,178604,44058,131193,431917,55855,65519,417842,0,410662,154631,75279,456588,307814,16383,194053,144149,111385
96375,96907,Auto,7779.0,295349,0,212215,32787,376983,178604,44058,131193,431917,55855,65519,417842,0,410662,154631,75279,456588,307814,16383,194053,144149,111385
96318,96938,Armor Crush,50884.0,295349,0,263099,32787,376983,178604,44058,131193,431917,55855,65519,417842,0,410662,154631,75279,456588,307814,16383,194053,144149,111385
98526,98526,Spinning Edge (pet),15069.0,295349,0,263099,32787,376983,178604,44058,131193,431917,55855,65519,417842,0,410662,154631,75279,456588,307814,31452,194053,144149,111385
98438,98838,Spinning Edge,30530.0,295349,0,263099,32787,376983,178604,44058,131193,431917,55855,65519,417842,0,410662,154631,75279,456588,338344,31452,194053,144149,111385
98545,99077,Auto,7779.0,295349,0,263099,32787,384762,178604,44058,131193,431917,55855,65519,417842,0,410662,154631,75279,456588,338344,31452,194053,144149,111385
100646,100646,Gust Slash (pet),15069.0,295349,0,263099,32787,384762,178604,44058,131193,431917,55855,65519,417842,15069,410662,154631,75279,456588,338344,31452,194053,144149,111385
100558,100958,Gust Slash,40707.0,295349,0,263099,32787,384762,178604,44058,131193,431917,55855,65519,458549,15069,410662,154631,75279,456588,338344,31452,194053,144149,111385
100715,101247,Auto,7779.0,295349,0,263099,32787,392541,178604,44058,131193,431917,55855,65519,458549,15069,410662,154631,75279,456588,338344,31452,194053,144149,111385
