sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
576000,577290,Sepulchre,43082.0,995147,1522777,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,1003529,1213952,1110470
578178,578710,Auto,5328.0,995147,1528105,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,1003529,1213952,1110470
578500,579258,Holy Spirit,39894.0,995147,1528105,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1193239,602892,311776,690144,1003529,1213952,1110470
579125,580148,Circle of Scorn,11164.0,995147,1528105,790042,1039517,914762,1039517,257086,263415,1039517,790894,457693,727647,1193239,602892,311776,690144,1003529,1213952,1110470
579125,580500,Circle of Scorn (dot),2392.0,995147,1528105,790042,1039517,914762,1039517,257086,265807,1039517,790894,457693,727647,1193239,602892,311776,690144,1003529,1213952,1110470
580418,580950,Auto,5328.0,995147,1533433,790042,1039517,914762,1039517,257086,265807,1039517,790894,457693,727647,1193239,602892,311776,690144,1003529,1213952,1110470
581000,581623,Fast Blade,17548.0,995147,1533433,790042,1039517,914762,1039517,257086,265807,1039517,790894,475241,727647,1193239,602892,311776,690144,1003529,1213952,1110470
581625,581982,Expiacion,35904.0,995147,1533433,790042,1039517,914762,1039517,257086,265807,1039517,826798,475241,727647,1193239,602892,311776,690144,1003529,1213952,1110470
582658,583190,Auto,5328.0,995147,1538761,790042,1039517,914762,1039517,257086,265807,1039517,826798,475241,727647,1193239,602892,311776,690144,1003529,1213952,1110470
579125,583500,Circle of Scorn (dot),2392.0,995147,1538761,790042,1039517,914762,1039517,257086,268199,1039517,826798,475241,727647,1193239,602892,311776,690144,1003529,1213952,1110470
583500,584258,Riot Blade,26327.0,995147,1538761,790042,1039517,914762,1039517,257086,268199,1039517,826798,475241,727647,1193239,602892,311776,716471,1003529,1213952,1110470
584898,585430,Auto,5328.0,995147,1544089,790042,1039517,914762,1039517,257086,268199,1039517,826798,475241,727647,1193239,602892,311776,716471,1003529,1213952,1110470
579125,586500,Circle of Scorn (dot),2392.0,995147,1544089,790042,1039517,914762,1039517,257086,270591,1039517,826798,475241,727647,1193239,602892,311776,716471,1003529,1213952,1110470
586000,586578,Royal Authority,36701.0,995147,1544089,790042,1039517,914762,1039517,257086,270591,1039517,826798,475241,727647,1193239,602892,311776,716471,1040230,1213952,1110470
587138,587670,Auto,5328.0,995147,1549417,790042,1039517,914762,1039517,257086,270591,1039517,826798,475241,727647,1193239,602892,311776,716471,1040230,1213952,1110470
