sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
100000,100620,Raiden Thrust,320,1.0,3240,1360,1395,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1200,1400,1680,230,1360,1320
100620,101820,Wyrmwind Thrust,440,1.0,3240,1360,1395,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1200,1400,1680,230,1360,1760
101560,102092,Auto,90,1.0,3330,1360,1395,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1200,1400,1680,230,1360,1760
80000,103500,Chaotic Spring (dot),45,1.0,3330,1360,1440,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1200,1400,1680,230,1360,1760
102500,103880,Spiral Blow,300,1.0,3330,1360,1440,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1500,1400,1680,230,1360,1760
104360,104892,Auto,90,1.0,3420,1360,1440,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1500,1400,1680,230,1360,1760
105000,105450,Chaotic Spring,340,1.0,3420,1700,1440,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1500,1400,1680,230,1360,1760
105000,106500,Chaotic Spring (dot),45,1.0,3420,1700,1485,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1500,1400,1680,230,1360,1760
107160,107692,Auto,90,1.0,3510,1700,1485,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1500,1400,1680,230,1360,1760
107500,108120,Wheeling Thrust,340,1.0,3510,1700,1485,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1500,1400,1680,230,1700,1760
105000,109500,Chaotic Spring (dot),45,1.0,3510,1700,1530,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1500,1400,1680,230,1700,1760
109960,110492,Auto,90,1.0,3600,1700,1530,500,3680,1360,560,1840,1200,1360,1140,1440,0,2560,550,1500,1400,1680,230,1700,1760
110000,110620,Drakesbane,460,1.0,3600,1700,1530,500,4140,1360,560,1840,1200,1360,1140,1440,0,2560,550,1500,1400,1680,230,1700,1760
105000,112500,Chaotic Spring (dot),45,1.0,3600,1700,1575,500,4140,1360,560,1840,1200,1360,1140,1440,0,2560,550,1500,1400,1680,230,1700,1760
112500,113120,Raiden Thrust,320,1.0,3600,1700,1575,500,4140,1360,560,1840,1200,1360,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
112760,113292,Auto,90,1.0,3690,1700,1575,500,4140,1360,560,1840,1200,1360,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
113120,113610,High Jump,400,1.0,3690,1700,1575,500,4140,1360,560,1840,1600,1360,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
105000,115500,Chaotic Spring (dot),45,1.0,3690,1700,1620,500,4140,1360,560,1840,1600,1360,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
115000,115940,Lance Barrage,340,1.0,3690,1700,1620,500,4140,1360,560,1840,1600,1700,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
115560,116092,Auto,90,1.0,3780,1700,1620,500,4140,1360,560,1840,1600,1700,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
117500,118210,Heavens' Thrust,460,1.0,3780,1700,1620,500,4140,1360,560,2300,1600,1700,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
105000,118500,Chaotic Spring (dot),45,1.0,3780,1700,1665,500,4140,1360,560,2300,1600,1700,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
