sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
145000,154500,Sonic Break (dot),120,1.0,1560,4950,4000,450,900,3420,1260,3000,1800,2640,540,1320,2700,3000,2700,2400,3000,3680,1020,1560,3360
154893,155425,Auto,90,1.0,1560,5040,4000,450,900,3420,1260,3000,1800,2640,540,1320,2700,3000,2700,2400,3000,3680,1020,1560,3360
155000,156653,Solid Barrel,460,1.0,1560,5040,4000,450,900,3420,1260,3000,1800,2640,540,1320,2700,3000,2700,2400,3000,4140,1020,1560,3360
145000,157500,Sonic Break (dot),120,1.0,1560,5040,4000,450,900,3420,1260,3000,1800,2640,540,1320,2700,3000,2700,2400,3000,4140,1020,1680,3360
157500,158214,Burst Strike,420,1.0,1560,5040,4000,450,900,3420,1680,3000,1800,2640,540,1320,2700,3000,2700,2400,3000,4140,1020,1680,3360
157693,158225,Auto,90,1.0,1560,5130,4000,450,900,3420,1680,3000,1800,2640,540,1320,2700,3000,2700,2400,3000,4140,1020,1680,3360
158125,158883,Hypervelocity,180,1.0,1560,5130,4000,450,900,3420,1680,3000,1800,2640,720,1320,2700,3000,2700,2400,3000,4140,1020,1680,3360
145000,160500,Sonic Break (dot),120,1.0,1560,5130,4000,450,900,3420,1680,3000,1800,2640,720,1320,2700,3000,2700,2400,3000,4140,1020,1800,3360
160000,160893,Keen Edge,300,1.0,1560,5130,4000,450,900,3420,1680,3000,1800,2640,720,1320,3000,3000,2700,2400,3000,4140,1020,1800,3360
160493,161025,Auto,90,1.0,1560,5220,4000,450,900,3420,1680,3000,1800,2640,720,1320,3000,3000,2700,2400,3000,4140,1020,1800,3360
160625,161250,Blasting Zone,800,1.0,1560,5220,4800,450,900,3420,1680,3000,1800,2640,720,1320,3000,3000,2700,2400,3000,4140,1020,1800,3360
