sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
609125,610148,Circle of Scorn,14701.0,1067047,1606623,791401,1041303,916334,1041303,272037,275635,1041303,827599,492789,802444,1234026,664866,312312,741482,1075264,1255456,1153610
609125,610500,Circle of Scorn (dot),3149.0,1067047,1606623,791401,1041303,916334,1041303,272037,278784,1041303,827599,492789,802444,1234026,664866,312312,741482,1075264,1255456,1153610
611625,611982,Expiacion,47279.0,1067047,1606623,791401,1041303,916334,1041303,272037,278784,1041303,874878,492789,802444,1234026,664866,312312,741482,1075264,1255456,1153610
611000,612160,Supplication,52533.0,1067047,1606623,791401,1041303,916334,1041303,272037,278784,1041303,874878,492789,802444,1234026,664866,312312,741482,1075264,1255456,1206143
611778,612310,Auto,7016.0,1067047,1613639,791401,1041303,916334,1041303,272037,278784,1041303,874878,492789,802444,1234026,664866,312312,741482,1075264,1255456,1206143
609125,613500,Circle of Scorn (dot),3149.0,1067047,1613639,791401,1041303,916334,1041303,272037,281933,1041303,874878,492789,802444,1234026,664866,312312,741482,1075264,1255456,1206143
613500,614123,Confiteor,105069.0,1067047,1613639,791401,1041303,916334,1041303,272037,281933,1146372,874878,492789,802444,1234026,664866,312312,741482,1075264,1255456,1206143
614018,614550,Auto,7016.0,1067047,1620655,791401,1041303,916334,1041303,272037,281933,1146372,874878,492789,802444,1234026,664866,312312,741482,1075264,1255456,1206143
614125,614703,Intervene,15757.0,1067047,1620655,791401,1041303,916334,1041303,272037,281933,1146372,874878,492789,802444,1234026,664866,328069,741482,1075264,1255456,1206143
609125,616500,Circle of Scorn (dot),3149.0,1067047,1620655,791401,1041303,916334,1041303,272037,285082,1146372,874878,492789,802444,1234026,664866,328069,741482,1075264,1255456,1206143
